rank,name,display_name,position,age,nationality,club,club_short,league,matches,goals,market_value
1,Bruno Michel,Bruno Michel,Left Winger,26,Brazil,FC Urartu Yerevan,FC Urartu,Armenia Premier League,6,7,€250k
2,Dalberto,Dalberto,Centre-Forward,31,Brazil,Arema FC,Arema FC,Indonesia Super League,5,7,€225k
3,Bissoli,Bissoli,Centre-Forward,27,Brazil,Buriram United,Buriram Utd.,Thailand Thai League,5,6,€2.00m
4,Jonathan Júnior,Jonathan Júnior,Centre-Forward,26,Brazil,Stal Rzeszow,Stal Rzeszow,Poland Betclic 1 Liga,10,6,€125k
5,Patrick,Patrick,Centre-Forward,27,Brazil,Svay Rieng,Svay Rieng,Cambodia C. Premier League,5,6,-
6,Clayton,Clayton,Centre-Forward,26,Brazil,Rio Ave FC,Rio Ave,Portugal Liga Portugal,6,5,€5.00m
7,Alan Grafite,Alan Grafite,Centre-Forward,27,Brazil,Cong An Ha Noi FC,CAHN FC,Vietnam V.League 1,3,5,€325k
8,Lucas Villela,Lucas Villela,Centre-Forward,27,Brazil,Hibernians FC,Hibernians FC,Malta Premier League Opening Round,6,5,€300k
9,John Kleber,John Kleber,Centre-Forward,25,Brazil,2 clubs,2 clubs,Multiple,7,5,€125k
10,Maycon Santana,Maycon Santana,Striker,33,Brazil,UNAN Managua,UNAN Managua,Nicaragua Liga Primera Apertura,9,5,-
11,Eduardo Junior,Eduardo Junior,Centre-Forward,30,Brazil,Angkor Tiger FC,Angkor Tiger,Cambodia C. Premier League,5,5,-
12,Yan Maciel,Yan Maciel,Central Midfield,28,Brazil,CD FAS,FAS,El Salvador Primera División Clausura,12,5,-
13,Lucas dos Santos,Lucas dos Santos,Centre-Forward,31,Brazil,Deportivo Walter Ferretti,Walter Ferretti,Nicaragua Liga Primera Apertura,6,5,-
14,Róger Guedes,Róger Guedes,Second Striker,28,Brazil,Al-Rayyan SC,Al-Rayyan,Qatar Stars League,5,4,€9.00m
15,João Pedro,João Pedro,Centre-Forward,32,Brazil,Qatar SC,Qatar SC,Qatar Stars League,5,4,€3.80m
16,Jairo,Jairo,Centre-Forward,33,Brazil,Johor Darul Ta'zim,Johor DT,Malaysia Super League,5,4,€900k
17,Guilherme Schettine,Guilherme Schettine,Centre-Forward,29,Brazil,Moreirense FC,Moreirense,Portugal Liga Portugal,6,4,€900k
18,Chrigor Moraes,Chrigor Moraes,Centre-Forward,24,Brazil,Selangor FC,Selangor FC,Malaysia Super League,5,4,€800k
19,Pablo,Pablo,Centre-Forward,21,Brazil,Gil Vicente FC,Gil Vicente,Portugal Liga Portugal,6,4,€800k
20,Douglas Tanque,Douglas Tanque,Centre-Forward,31,Brazil,Bandirmaspor,Bandirmaspor,Türkiye 1.Lig,6,4,€600k
21,Gustavo Henrique,Gustavo Henrique,Centre-Forward,29,Brazil,Ninh Binh FC,Ninh Binh FC,Vietnam V.League 1,4,4,€450k
22,Maxwell,Maxwell,Left Winger,30,Brazil,Persija Jakarta,Persija,Indonesia Super League,6,4,€400k
23,Bérgson,Bérgson,Centre-Forward,34,Brazil,Johor Darul Ta'zim,Johor DT,Malaysia Super League,6,4,€375k
24,Sidnney,Sidnney,Left-Back,25,Brazil,Livyi Bereg Kyiv,Livyi Bereg,Ukraine Persha Liga,6,4,€250k
25,Lucas Cardoso,Lucas Cardoso,Central Midfield,29,Brazil,Dobrudzha Dobrich,Dob. Dobrich,Bulgaria efbet Liga,9,4,€250k
